Id,product_name,categories_tags
184,Yaourt Ã  l'amande et au cafÃ©,"en:yogurts,en:dairies"
185,Freeway Cola,"en:beverages,fr:sodas-au-cola,en:sodas,en:carbonated-drinks"
186,Blanc de poulet,
187,Olives farcies aux amandes,"en:vegetables,en:green-olives,en:olives,en:pickled-vegetables,en:pickles,fr:olives-aux-amandes"
188,Cassis strong,"en:candies,fr:chewing-gum"
189,SpÃ©cial sandwich nature,"fr:pains-de-mie,en:breads"
190,PrÃ©paration pour pain paysan,en:flours
191,vitafit  Multi-vitamin,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,fr:jus-multifruits,fr:jus-multifruits-a-base-de-concentre"
192,MoulinÃ© de 7 lÃ©gumes variÃ©s,"en:soups,fr:soupes-de-legumes,en:meals"
193,"mixxed up, energy drink","fr:boissons-energisantes,en:beverages,en:sodas,en:carbonated-drinks"
194,chorizo espagnol,"fr:chorizos,fr:saucissons,en:meats,en:prepared-meats"
195,SugarLand - Bonbons Fraises,en:candies
196,Saumon Atlantique fumÃ© bio,"fr:saumons-fumes,en:seafood,en:smoked-fishes,en:fishes,fr:saumons-fumes-d-elevage,en:salmons"
197,Brique de Lait demi-Ã©crÃ©mÃ© 1.5% mat. gr. - Saveur lÃ©gÃ¨re,"en:milks,fr:laits-demi-ecremes,fr:laits-uht,en:dairies"
198,Chocolate Chunk Cookies,"en:biscuits,en:cookies,fr:cookies-au-chocolat"
199,Escalopes de porc Big West,en:meats
200,Frangipanes,en:cakes
201,Miel de fleur,"en:honeys,en:farming-products,en:bee-products,fr:miels-liquides,fr:miels-de-fleurs"
202,PrÃ©paration pour pain aux graines de tournesol,fr:preparation-pour-pain
203,Filet de colin Ã  la mÃ©diterranÃ©enne,"en:frozen-foods,en:seafood,fr:colins,en:fishes"
204,galettes pur beurre,en:biscuits
205,Camembert bio au lait microfiltrÃ©,"fr:camemberts,en:cow-cheeses,fr:camemberts-au-lait-microfiltre,fr:fromages-a-pate-molle-a-croute-fleurie,en:cheeses,en:dairies"
206,45 mini-apÃ©ritifs surgelÃ©s,"en:frozen-foods,fr:aperitif"
207,Chips Prawn Crackers,"fr:chips-de-crevettes,fr:aperitif"
208,Yaourt Ananas Milbona,"en:yogurts,en:dairies,en:fruit-yogurts"
209,"Filets de pangas, surgelÃ©s","en:frozen-foods,fr:poissons-surgeles,en:seafood,en:fish-fillets,en:fishes"
210,CrÃ¨me fraÃ®che fluide Milbona,"en:creams,en:dairies,fr:cremes-fraiches"
211,Camembert finesse & caractÃ¨re,"fr:camemberts,en:cow-cheeses,fr:fromages-a-pate-molle-a-croute-fleurie,en:cheeses,fr:fromages-pasteurises,en:dairies"
212,Vitasia fortune cookies,
213,Lait et chocolat,"fr:barres,fr:barres-chocolatees,en:candies"
214,Speculoos,"fr:speculoos,en:biscuits"
215,Beurre gastronomique doux,"en:butters,en:animal-fats,en:fats,fr:beurres-doux,en:dairies"
216,Beurre gastronomique demi-sel. MatiÃ¨res grasses: 80% minimum.,"en:butters,en:animal-fats,fr:beurres-demi-sel,en:fats,en:dairies"
217,PopCorn,"fr:pop-corn,fr:aperitif"
218,Petits-beurre nappÃ©s chocolat noir Sondey,"fr:petits-beurres,en:biscuits"
219,Petits pains grillÃ©s au blÃ© complet,"fr:petits-pains-grilles,fr:pain-grille"
220,Gaufrettes fourrÃ©es lait-noisettes Favorini,"en:waffles,fr:gaufrettes"
221,MaÃ¯s doux en conserve Freshona,"fr:legumes-en-conserve,en:vegetables,en:cereals,en:canned-foods,fr:mais-doux,fr:mais-en-conserve"
222,Chips Paprika,"en:chips-and-fries,fr:chips,fr:aperitif"
223,Gingerbread,"en:biscuits,fr:pains-d-epices"
224,"Choco nussa, pÃ¢te Ã  tartiner aux noisettes","fr:pates-a-tartiner,fr:pates-a-tartiner-aux-noisettes,en:spreads,en:sweet-spreads,en:breakfasts"
225,mousse au fromage frais,
226,Yaourt nature maigre 0% MG,"en:low-fat-yogurts,en:yogurts,en:dairies,fr:yaourts-natures"
227,compote,"fr:compotes,en:desserts,en:groceries"
228,Panna cotta sur lit de fruits rouges,en:desserts
229,Panna cotta nappÃ© de caramel KingFrais,fr:dessert-lacte
230,Biscuits sablÃ©s chocolat au lait,"en:biscuits,fr:biscuits-au-chocolat"
231,Chocolat dÃ©gustation Ã  la framboise,"fr:chocolats-de-degustation,en:chocolates,fr:tablettes-de-chocolat,en:candies,fr:chocolats-noirs"
232,Nectar de pomme et de canneberge,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars"
233,Saint Alby Allumettes de lardons nature,fr:lardons-allumettes-nature
234,Pur jus d'orange Vitafit,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:orange-juices"
235,CÃ©rÃ©ales Master Crumble  fruits secs,"en:cereals,fr:cereales-pour-petit-dejeuner,en:breakfasts"
236,Master crumble chocolat noisette,"fr:mueslis,fr:cereales-pour-petit-dejeuner,en:breakfasts"
237,Fromage de chÃ¨vre en tranches,"fr:fromages-de-chevre,en:cheeses,en:dairies,fr:fromages-pasteurises"
238,8 CrÃªpes chocolat,"fr:crepes,fr:crepes-et-galettes"
239,Emmental rÃ¢pÃ© franÃ§ais,"fr:fromages-rapes,en:cow-cheeses,en:cheeses,en:dairies,fr:emmentals-rapes,en:emmentaler,fr:fromages-a-pate-pressee-cuite"
240,Biscuits pour le petit dÃ©jeuner au muesli et aux fruits,en:biscuits
241,Pur jus de 4 agrumes Vitafit,"en:squeezed-juices,en:fruit-juices,en:beverages,en:fruit-juices-and-nectars"
242,Cervelas Ã  l'alsacienne,"en:sausages,fr:saucisses-francaises,en:meats,en:prepared-meats"
243,Freeway Cola 0%,"en:diet-drinks,en:beverages,fr:sodas-au-cola-light,fr:produits-avec-des-edulcorants,fr:sodas-au-cola,en:sodas,en:diet-sodas,en:carbonated-drinks"
244,Master Crumble,"fr:mueslis,fr:cereales-pour-petit-dejeuner,en:breakfasts"
245,Jus d'Orange sans pulpe,"en:squeezed-orange-juices,en:squeezed-juices,en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:orange-juices"
246,Chaource 'Saveurs de nos rÃ©gions',"en:cheeses,en:dairies"
247,BrassÃ© nature,
248,Vitafit MultivitaminÃ©,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:concentrated-fruit-juices"
249,Fromage blanc,"fr:fromages-blancs,en:cheeses,en:dairies"
250,Gourmandise d'autrefois,"fr:bonbons,en:candies"
251,Boudins Blancs morilles,"fr:boudins,en:meats,fr:boudins-blancs,en:prepared-meats"
252,Terrine bretonne,"fr:terrines,en:meats"
253,Mousse au chocolat noir,"en:chocolates,en:candies"
254,Sondey biscuits pocket choco / lait,en:biscuits
255,Yaourt sucrÃ© Fruits Rouge Milbona,"en:yogurts,en:dairies,en:fruit-yogurts"
256,Biscottes,"fr:biscottes,en:breads"
257,Tiramisu Deluxe,"en:desserts,en:dairies"
258,Jambon de Paris,"fr:jambons-blancs,fr:jambons-de-paris,en:hams,en:meats,en:prepared-meats"
259,Sauce CruditÃ©s fines herbes Kania,"en:groceries,fr:sauces"
260,SablÃ©s chocolat-coco,fr:biscuits-aux-chocolat-et-a-la-noix-de-coco
261,Yaourt Abricots Yogosan,"en:yogurts,en:dairies"
262,Yaourt Cerises Yogosan,"en:yogurts,en:dairies"
263,Yaourt Noix de Coco Yogosan,"en:yogurts,en:dairies"
264,Yaourt Ananas-Passion Yogosan,"en:yogurts,en:dairies"
265,Pur jus multifruits,fr:jus-multifruit
266,Pur jus de pomme 100%,fr:jus-de-fruits-100
267,"10 steaks hachÃ©s, 100% pur boeuf","fr:steaks-haches,fr:steaks-haches-surgeles"
268,2 Cordons Bleus de poulet,"fr:plats-prepares-frais,en:fresh,fr:cordons-bleus,fr:cordons-bleus-de-poulet,en:meals"
269,Palmiers feuilletÃ©s croustillants,en:biscuits
270,Pur jus d'ananas Vitafit,"en:squeezed-juices,en:fruit-juices,en:beverages,en:fruit-juices-and-nectars"
271,Dulano jambon cuit dorÃ©,"en:hams,en:meats,en:prepared-meats"
272,L'Ã©tal du boucher Le tendre et savoureux 10 hachÃ©s au boeuf,fr:steaks-haches-surgeles
273,Bircher Muesli Yogurt Alpengut,"en:yogurts,en:dairies"
274,Nems au poulet avec sauce Nuoc-mÃ¢m,fr:nems-au-poulet
275,Yaourt nature sucrÃ©,"en:yogurts,en:dairies,fr:yaourts-natures-sucres"
276,Yaourt nature,"en:yogurts,en:dairies,fr:yaourts-natures"
277,Noir,"en:chocolates,en:candies,fr:chocolats-noirs"
278,Boisson au thÃ© de Ceylan saveur citron,"en:beverages,fr:thes-glaces"
279,Debrecziner Alepngut,"en:sausages,en:meats,en:prepared-meats"
280,2 pavÃ©s de kangourou marinÃ©s au vin rouge et Ã©pices Deluxe,en:meals
